lr,train/loss,train/psnr,epoch,created_at
0.0005,0.5098922252655029,10.969964027404785,0,2023-06-24 15:14:19.296112
0.0005,0.49879753589630127,11.880631446838379,0,2023-06-24 15:14:22.079636
0.0005,0.48847249150276184,12.604120254516602,0,2023-06-24 15:14:24.865745
0.0005,0.48656442761421204,12.646199226379395,0,2023-06-24 15:14:27.646962
0.0005,0.47815456986427307,12.624454498291016,0,2023-06-24 15:14:30.434211
0.0005,0.487682580947876,12.830999374389648,0,2023-06-24 15:14:33.214726
0.0005,0.48414814472198486,12.815406799316406,0,2023-06-24 15:14:36.061636
0.0005,0.5044321417808533,12.680723190307617,0,2023-06-24 15:14:38.870189
0.0005,0.48545125126838684,12.97881031036377,0,2023-06-24 15:14:41.666661
0.0005,0.4844963848590851,13.025299072265625,0,2023-06-24 15:14:44.492339
0.0005,0.49330124258995056,12.9262056350708,0,2023-06-24 15:14:47.349193
0.0005,0.48588454723358154,12.93018913269043,0,2023-06-24 15:14:50.225800
