lr,train/loss,train/psnr,epoch,created_at,val/loss,val/psnr
0.0005,0.3450678288936615,5.674569129943848,0,2023-06-24 18:12:48.555315,,
0.0005,0.12771643698215485,11.860429763793945,0,2023-06-24 18:12:51.187444,,
0.0005,0.11578106880187988,12.358720779418945,0,2023-06-24 18:12:53.812343,,
0.0005,0.10566966980695724,12.698341369628906,0,2023-06-24 18:12:56.431809,,
0.0005,0.10505062341690063,12.76216983795166,0,2023-06-24 18:12:59.056972,,
0.0005,0.1051718220114708,12.737135887145996,0,2023-06-24 18:13:01.683967,,
0.0005,0.10281947255134583,12.853397369384766,0,2023-06-24 18:13:04.343958,,
0.0005,0.1081666350364685,12.599956512451172,0,2023-06-24 18:13:06.958610,,
0.0005,0.10378264635801315,12.775640487670898,0,2023-06-24 18:13:09.585636,,
0.0005,0.10048579424619675,12.899466514587402,0,2023-06-24 18:13:12.213677,,
0.0005,0.09763570129871368,13.095842361450195,0,2023-06-24 18:13:14.860580,,
0.0005,0.10280952602624893,12.83422565460205,0,2023-06-24 18:13:17.489846,,
0.0005,0.09826986491680145,13.064558029174805,0,2023-06-24 18:13:20.119171,,
0.0005,0.0967055931687355,13.125137329101562,0,2023-06-24 18:13:22.732900,,
0.0005,0.09847512096166611,13.023480415344238,0,2023-06-24 18:13:25.358099,,
0.0005,0.09517907351255417,13.211745262145996,0,2023-06-24 18:13:28.010146,,
0.0005,0.09479078650474548,13.286109924316406,0,2023-06-24 18:13:30.647978,,
0.0005,0.091131791472435,13.440134048461914,0,2023-06-24 18:13:33.295163,,
0.0005,0.09168398380279541,13.369983673095703,0,2023-06-24 18:13:35.927891,,
0.0005,0.09331819415092468,13.423334121704102,0,2023-06-24 18:13:38.538555,,
0.0005,0.09136756509542465,13.482050895690918,0,2023-06-24 18:13:41.178165,,
0.0005,0.09410310536623001,13.32371711730957,0,2023-06-24 18:13:43.815033,,
0.0005,0.0913376733660698,13.462045669555664,0,2023-06-24 18:13:46.451672,,
0.0005,0.09091692417860031,13.455669403076172,0,2023-06-24 18:13:49.089213,,
0.0005,0.0883660763502121,13.596441268920898,0,2023-06-24 18:13:51.723427,,
0.0005,0.08930958807468414,13.534934997558594,0,2023-06-24 18:13:54.350874,,
0.0005,0.08593422174453735,13.708799362182617,0,2023-06-24 18:13:56.991204,,
0.0005,0.08864536881446838,13.560056686401367,0,2023-06-24 18:13:59.610336,,
0.0005,0.08861386775970459,13.518918991088867,0,2023-06-24 18:14:02.238418,,
0.0005,0.07988846302032471,14.01185131072998,0,2023-06-24 18:14:04.872972,,
